Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5434536,,,0
HS,2010,201001,January 2010,0,0,2,Exports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,67209,,,0
HS,2010,201001,January 2010,0,0,1,Imports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,43255589,,,0
HS,2010,201001,January 2010,0,0,2,Exports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2543959,,,0
HS,2010,201001,January 2010,0,0,1,Imports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,105532927,,,0
HS,2010,201001,January 2010,0,0,2,Exports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9829268,,,0
HS,2010,201001,January 2010,0,0,1,Imports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,44352021,,,0
HS,2010,201001,January 2010,0,0,2,Exports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12650762,,,0
HS,2010,201002,February 2010,0,0,1,Imports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3925411,,,0
HS,2010,201002,February 2010,0,0,2,Exports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5414,,,0
HS,2010,201002,February 2010,0,0,1,Imports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,45204506,,,0
HS,2010,201002,February 2010,0,0,2,Exports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1565475,,,0
HS,2010,201002,February 2010,0,0,1,Imports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,81024534,,,0
HS,2010,201002,February 2010,0,0,2,Exports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9630373,,,0
HS,2010,201002,February 2010,0,0,1,Imports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,31508699,,,0
HS,2010,201002,February 2010,0,0,2,Exports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19134292,,,0
HS,2010,201003,March 2010,0,0,1,Imports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2730344,,,0
HS,2010,201003,March 2010,0,0,2,Exports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10424,,,0
HS,2010,201003,March 2010,0,0,1,Imports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,63690558,,,0
HS,2010,201003,March 2010,0,0,2,Exports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2618863,,,0
HS,2010,201003,March 2010,0,0,1,Imports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,127543641,,,0
HS,2010,201003,March 2010,0,0,2,Exports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6925472,,,0
HS,2010,201003,March 2010,0,0,1,Imports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,48948248,,,0
HS,2010,201003,March 2010,0,0,2,Exports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16491187,,,0
HS,2011,201101,January 2011,0,0,1,Imports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17359546,,,0
HS,2011,201101,January 2011,0,0,2,Exports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,93186,,,0
HS,2011,201101,January 2011,0,0,1,Imports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36836465,,,0
HS,2011,201101,January 2011,0,0,2,Exports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1414969,,,0
HS,2011,201101,January 2011,0,0,1,Imports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,180986013,,,0
HS,2011,201101,January 2011,0,0,2,Exports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5744602,,,0
HS,2011,201101,January 2011,0,0,1,Imports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,29742217,,,0
HS,2011,201101,January 2011,0,0,2,Exports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17129895,,,0
HS,2011,201102,February 2011,0,0,1,Imports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6571271,,,0
HS,2011,201102,February 2011,0,0,2,Exports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,856,,,0
HS,2011,201102,February 2011,0,0,1,Imports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,48039149,,,0
HS,2011,201102,February 2011,0,0,2,Exports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3299547,,,0
HS,2011,201102,February 2011,0,0,1,Imports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,144626363,,,0
HS,2011,201102,February 2011,0,0,2,Exports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7331005,,,0
HS,2011,201102,February 2011,0,0,1,Imports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,28689756,,,0
HS,2011,201102,February 2011,0,0,2,Exports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18998417,,,0
HS,2011,201103,March 2011,0,0,1,Imports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16599737,,,0
HS,2011,201103,March 2011,0,0,2,Exports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1211,,,0
HS,2011,201103,March 2011,0,0,1,Imports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,51816800,,,0
HS,2011,201103,March 2011,0,0,2,Exports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2103207,,,0
HS,2011,201103,March 2011,0,0,1,Imports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,140320379,,,0
HS,2011,201103,March 2011,0,0,2,Exports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11754330,,,0
HS,2011,201103,March 2011,0,0,1,Imports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,67415955,,,0
HS,2011,201103,March 2011,0,0,2,Exports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,21401127,,,0
HS,2011,201104,April 2011,0,0,1,Imports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7921290,,,0
HS,2011,201104,April 2011,0,0,2,Exports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,95322,,,0
HS,2011,201104,April 2011,0,0,1,Imports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,43431553,,,0
HS,2011,201104,April 2011,0,0,2,Exports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1673834,,,0
HS,2011,201104,April 2011,0,0,1,Imports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,141890203,,,0
HS,2011,201104,April 2011,0,0,2,Exports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7255033,,,0
HS,2011,201104,April 2011,0,0,1,Imports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26921543,,,0
HS,2011,201104,April 2011,0,0,2,Exports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,24904277,,,0
HS,2011,201105,May 2011,0,0,1,Imports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39532560,,,0
HS,2011,201105,May 2011,0,0,2,Exports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,115505,,,0
HS,2011,201105,May 2011,0,0,1,Imports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,63350135,,,0
HS,2011,201105,May 2011,0,0,2,Exports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,921786,,,0
HS,2011,201105,May 2011,0,0,1,Imports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,177445991,,,0
HS,2011,201105,May 2011,0,0,2,Exports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7017900,,,0
HS,2011,201105,May 2011,0,0,1,Imports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,37412064,,,0
HS,2011,201105,May 2011,0,0,2,Exports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25639174,,,0
HS,2011,201106,June 2011,0,0,1,Imports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13673828,,,0
HS,2011,201106,June 2011,0,0,1,Imports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,48383189,,,0
HS,2011,201106,June 2011,0,0,2,Exports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1393954,,,0
HS,2011,201106,June 2011,0,0,1,Imports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,125313176,,,0
HS,2011,201106,June 2011,0,0,2,Exports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8322269,,,0
HS,2011,201106,June 2011,0,0,1,Imports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,34281819,,,0
HS,2011,201106,June 2011,0,0,2,Exports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,29698465,,,0
HS,2017,201701,January 2017,0,0,1,Imports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9064907,,,0
HS,2017,201701,January 2017,0,0,2,Exports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,428671,,,0
HS,2017,201701,January 2017,0,0,3,Re-exports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,427525,,,0
HS,2017,201701,January 2017,0,0,1,Imports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,58491683,,,0
HS,2017,201701,January 2017,0,0,2,Exports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3846312,,,0
HS,2017,201701,January 2017,0,0,1,Imports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,190050212,,,0
HS,2017,201701,January 2017,0,0,2,Exports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4493161,,,0
HS,2017,201701,January 2017,0,0,3,Re-exports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,58573,,,0
HS,2017,201701,January 2017,0,0,1,Imports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,30826281,,,0
HS,2017,201701,January 2017,0,0,2,Exports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,28008400,,,0
HS,2017,201701,January 2017,0,0,3,Re-exports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,137986,,,0
HS,2017,201702,February 2017,0,0,1,Imports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3879699,,,0
HS,2017,201702,February 2017,0,0,2,Exports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,159300,,,0
HS,2017,201702,February 2017,0,0,3,Re-exports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,64301,,,0
HS,2017,201702,February 2017,0,0,1,Imports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,45522664,,,0
HS,2017,201702,February 2017,0,0,2,Exports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2452446,,,0
HS,2017,201702,February 2017,0,0,3,Re-exports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12551,,,0
HS,2017,201702,February 2017,0,0,1,Imports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,101575662,,,0
HS,2017,201702,February 2017,0,0,2,Exports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5740453,,,0
HS,2017,201702,February 2017,0,0,3,Re-exports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,250,,,0
HS,2017,201702,February 2017,0,0,1,Imports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,45198136,,,0
HS,2017,201702,February 2017,0,0,2,Exports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,38942378,,,0
HS,2017,201702,February 2017,0,0,3,Re-exports,404,Kenya,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,218686,,,0
HS,2017,201703,March 2017,0,0,1,Imports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3659149,,,0
HS,2017,201703,March 2017,0,0,2,Exports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,848049,,,0
HS,2017,201703,March 2017,0,0,3,Re-exports,404,Kenya,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,843305,,,0
HS,2017,201703,March 2017,0,0,1,Imports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,78567461,,,0
HS,2017,201703,March 2017,0,0,2,Exports,404,Kenya,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2783092,,,0
HS,2017,201703,March 2017,0,0,1,Imports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,171103307,,,0
HS,2017,201703,March 2017,0,0,2,Exports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,6241984,,,0
HS,2017,201703,March 2017,0,0,3,Re-exports,404,Kenya,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4875,,,0
