Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201107,Jul-11,0,0,1,Imports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2042666074,,,0
HS,2011,201107,Jul-11,0,0,1,Imports,156,China,,24,Angola,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1605707888,,,0
HS,2011,201107,Jul-11,0,0,2,Exports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1176742767,,,0
HS,2011,201107,Jul-11,0,0,2,Exports,156,China,,24,Angola,,,,,,,,,TOTAL,All Commodities,,,,,,,,,265267267,,,0
HS,2011,201101,Jan-11,0,0,1,Imports,156,China,,24,Angola,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1646952212,,,0
HS,2011,201101,Jan-11,0,0,1,Imports,156,China,,404,Kenya,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4404083,,,0
HS,2011,201101,Jan-11,0,0,1,Imports,156,China,,818,Egypt,,,,,,,,,TOTAL,All Commodities,,,,,,,,,85892664,,,0
HS,2011,201101,Jan-11,0,0,1,Imports,156,China,,566,Nigeria,,,,,,,,,TOTAL,All Commodities,,,,,,,,,134538045,,,0
HS,2011,201101,Jan-11,0,0,1,Imports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2369672131,,,0
HS,2011,201101,Jan-11,0,0,2,Exports,156,China,,404,Kenya,,,,,,,,,TOTAL,All Commodities,,,,,,,,,167853040,,,0
HS,2011,201101,Jan-11,0,0,2,Exports,156,China,,24,Angola,,,,,,,,,TOTAL,All Commodities,,,,,,,,,268897872,,,0
HS,2011,201101,Jan-11,0,0,2,Exports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1090046655,,,0
HS,2011,201101,Jan-11,0,0,2,Exports,156,China,,566,Nigeria,,,,,,,,,TOTAL,All Commodities,,,,,,,,,826772258,,,0
HS,2011,201101,Jan-11,0,0,2,Exports,156,China,,818,Egypt,,,,,,,,,TOTAL,All Commodities,,,,,,,,,665304378,,,0
HS,2010,201010,Oct-10,0,0,2,Exports,156,China,,24,Angola,,,,,,,,,TOTAL,All Commodities,,,,,,,,,220682814,,,0
HS,2010,201002,Feb-10,0,0,1,Imports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1026971281,,,0
HS,2010,201002,Feb-10,0,0,1,Imports,156,China,,818,Egypt,,,,,,,,,TOTAL,All Commodities,,,,,,,,,27847912,,,0
HS,2010,201002,Feb-10,0,0,2,Exports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,670352646,,,0
HS,2010,201002,Feb-10,0,0,2,Exports,156,China,,818,Egypt,,,,,,,,,TOTAL,All Commodities,,,,,,,,,440544206,,,0
HS,2010,201003,Mar-10,0,0,1,Imports,156,China,,818,Egypt,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33370541,,,0
HS,2011,201112,Dec-11,0,0,1,Imports,156,China,,404,Kenya,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6238938,,,0
HS,2011,201112,Dec-11,0,0,1,Imports,156,China,,566,Nigeria,,,,,,,,,TOTAL,All Commodities,,,,,,,,,221567738,,,0
HS,2011,201112,Dec-11,0,0,1,Imports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2941089214,,,0
HS,2011,201112,Dec-11,0,0,1,Imports,156,China,,818,Egypt,,,,,,,,,TOTAL,All Commodities,,,,,,,,,37310974,,,0
HS,2011,201112,Dec-11,0,0,2,Exports,156,China,,818,Egypt,,,,,,,,,TOTAL,All Commodities,,,,,,,,,696006831,,,0
HS,2012,201201,Jan-12,0,0,2,Exports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1163722438,,,0
HS,2012,201201,Jan-12,0,0,2,Exports,156,China,,818,Egypt,,,,,,,,,TOTAL,All Commodities,,,,,,,,,677415356,,,0
HS,2012,201201,Jan-12,0,0,1,Imports,156,China,,404,Kenya,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4107479,,,0
HS,2012,201201,Jan-12,0,0,1,Imports,156,China,,818,Egypt,,,,,,,,,TOTAL,All Commodities,,,,,,,,,147090257,,,0
HS,2012,201201,Jan-12,0,0,1,Imports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1894591924,,,0
HS,2012,201201,Jan-12,0,0,1,Imports,156,China,,566,Nigeria,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6296334,,,0
HS,2012,201202,Feb-12,0,0,2,Exports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,572270640,,,0
HS,2012,201202,Feb-12,0,0,2,Exports,156,China,,818,Egypt,,,,,,,,,TOTAL,All Commodities,,,,,,,,,328118315,,,0
HS,2012,201202,Feb-12,0,0,1,Imports,156,China,,818,Egypt,,,,,,,,,TOTAL,All Commodities,,,,,,,,,44872979,,,0
HS,2012,201202,Feb-12,0,0,1,Imports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2876655711,,,0
HS,2012,201202,Feb-12,0,0,1,Imports,156,China,,404,Kenya,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4584349,,,0
HS,2012,201202,Feb-12,0,0,1,Imports,156,China,,566,Nigeria,,,,,,,,,TOTAL,All Commodities,,,,,,,,,122078381,,,0
HS,2012,201203,Mar-12,0,0,1,Imports,156,China,,818,Egypt,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36221395,,,0
HS,2012,201205,May-12,0,0,1,Imports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4500438764,,,0
HS,2012,201206,Jun-12,0,0,1,Imports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4257767383,,,0
HS,2012,201206,Jun-12,0,0,1,Imports,156,China,,818,Egypt,,,,,,,,,TOTAL,All Commodities,,,,,,,,,34750764,,,0
HS,2012,201206,Jun-12,0,0,2,Exports,156,China,,24,Angola,,,,,,,,,TOTAL,All Commodities,,,,,,,,,358467732,,,0
HS,2012,201206,Jun-12,0,0,2,Exports,156,China,,404,Kenya,,,,,,,,,TOTAL,All Commodities,,,,,,,,,316492474,,,0
HS,2012,201206,Jun-12,0,0,2,Exports,156,China,,818,Egypt,,,,,,,,,TOTAL,All Commodities,,,,,,,,,740384358,,,0
HS,2012,201206,Jun-12,0,0,2,Exports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1309890512,,,0
