Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201008,August 2010,0,0,1,Imports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8697435838,,,0
HS,2011,201101,January 2011,0,0,1,Imports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16275905642,,,0
HS,2011,201101,January 2011,0,0,1,Imports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2739278945,,,0
HS,2011,201101,January 2011,0,0,1,Imports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11751760908,,,0
HS,2011,201101,January 2011,0,0,2,Exports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11568537004,,,0
HS,2011,201101,January 2011,0,0,2,Exports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2318177730,,,0
HS,2011,201101,January 2011,0,0,2,Exports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25262930251,,,0
HS,2011,201101,January 2011,0,0,2,Exports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3920957422,,,0
HS,2010,201002,February 2010,0,0,1,Imports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1679823986,,,0
HS,2010,201002,February 2010,0,0,1,Imports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6468212981,,,0
HS,2010,201002,February 2010,0,0,1,Imports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10765815469,,,0
HS,2010,201002,February 2010,0,0,1,Imports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1748399397,,,0
HS,2010,201002,February 2010,0,0,2,Exports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7535043294,,,0
HS,2010,201002,February 2010,0,0,2,Exports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2695450437,,,0
HS,2010,201002,February 2010,0,0,2,Exports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16418970724,,,0
HS,2010,201002,February 2010,0,0,2,Exports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1333417720,,,0
HS,2010,201001,January 2010,0,0,2,Exports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8586172948,,,0
HS,2011,201112,December 2011,0,0,1,Imports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17187791319,,,0
HS,2011,201112,December 2011,0,0,1,Imports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4452915152,,,0
HS,2011,201112,December 2011,0,0,1,Imports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2520544376,,,0
HS,2011,201112,December 2011,0,0,1,Imports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11979272758,,,0
HS,2010,201004,April 2010,0,0,1,Imports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2313874907,,,0
HS,2011,201112,December 2011,0,0,2,Exports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4119318037,,,0
HS,2011,201112,December 2011,0,0,2,Exports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13789359172,,,0
HS,2012,201201,January 2012,0,0,2,Exports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12258055861,,,0
HS,2012,201201,January 2012,0,0,2,Exports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3734910469,,,0
HS,2012,201201,January 2012,0,0,2,Exports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26639403434,,,0
HS,2012,201201,January 2012,0,0,2,Exports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2632155084,,,0
HS,2012,201201,January 2012,0,0,1,Imports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10468807678,,,0
HS,2012,201201,January 2012,0,0,1,Imports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1715025566,,,0
HS,2012,201201,January 2012,0,0,1,Imports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8958843893,,,0
HS,2012,201201,January 2012,0,0,1,Imports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3713087039,,,0
HS,2012,201202,February 2012,0,0,2,Exports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10423231776,,,0
HS,2012,201202,February 2012,0,0,2,Exports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1666557951,,,0
HS,2012,201202,February 2012,0,0,2,Exports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2648091910,,,0
HS,2012,201202,February 2012,0,0,2,Exports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19384135178,,,0
HS,2012,201202,February 2012,0,0,1,Imports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15910277920,,,0
HS,2012,201202,February 2012,0,0,1,Imports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2290594904,,,0
HS,2012,201202,February 2012,0,0,1,Imports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11312952273,,,0
HS,2012,201202,February 2012,0,0,1,Imports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3534662163,,,0
HS,2012,201206,June 2012,0,0,1,Imports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1741661500,,,0
HS,2012,201206,June 2012,0,0,1,Imports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4892958087,,,0
HS,2012,201206,June 2012,0,0,1,Imports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10396114417,,,0
HS,2012,201206,June 2012,0,0,2,Exports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2958503572,,,0
HS,2012,201206,June 2012,0,0,2,Exports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3985942935,,,0
HS,2012,201206,June 2012,0,0,2,Exports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12212868008,,,0
HS,2012,201206,June 2012,0,0,2,Exports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,31016218812,,,0
HS,2012,201207,July 2012,0,0,1,Imports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16239078070,,,0
HS,2012,201207,July 2012,0,0,1,Imports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1404201219,,,0
HS,2012,201207,July 2012,0,0,1,Imports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5549540038,,,0
HS,2012,201207,July 2012,0,0,1,Imports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10250922182,,,0
HS,2012,201207,July 2012,0,0,2,Exports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3112399568,,,0
HS,2012,201207,July 2012,0,0,2,Exports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3903659936,,,0
HS,2012,201207,July 2012,0,0,2,Exports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12657148082,,,0
HS,2012,201208,August 2012,0,0,1,Imports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15502409974,,,0
HS,2012,201208,August 2012,0,0,1,Imports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1321932384,,,0
HS,2012,201208,August 2012,0,0,2,Exports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12339447405,,,0
HS,2012,201208,August 2012,0,0,2,Exports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4400697572,,,0
HS,2012,201208,August 2012,0,0,2,Exports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2908718175,,,0
HS,2012,201208,August 2012,0,0,2,Exports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,31046970143,,,0
HS,2012,201209,September 2012,0,0,1,Imports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16177728884,,,0
HS,2012,201209,September 2012,0,0,1,Imports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1139528155,,,0
HS,2012,201209,September 2012,0,0,1,Imports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10746751528,,,0
HS,2012,201209,September 2012,0,0,2,Exports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13900254849,,,0
HS,2012,201209,September 2012,0,0,2,Exports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4516125533,,,0
HS,2012,201209,September 2012,0,0,2,Exports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3294082781,,,0
HS,2012,201209,September 2012,0,0,2,Exports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,,,31837277727,,,0
HS,2016,201604,April 2016,0,0,2,Exports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1660970748,,,0
HS,2016,201604,April 2016,0,0,2,Exports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9851925465,,,0
HS,2016,201604,April 2016,0,0,2,Exports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,28943296895,,,0
HS,2016,201604,April 2016,0,0,2,Exports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4277903031,,,0
HS,2017,201707,July 2017,0,0,1,Imports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5466725388,,,0
HS,2017,201707,July 2017,0,0,1,Imports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13597754044,,,0
HS,2017,201707,July 2017,0,0,1,Imports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1112115355,,,0
HS,2017,201707,July 2017,0,0,1,Imports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12087992658,,,0
HS,2016,201611,November 2016,0,0,2,Exports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2239330661,,,0
HS,2016,201611,November 2016,0,0,2,Exports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12167095327,,,0
HS,2016,201611,November 2016,0,0,2,Exports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,36492996469,,,0
HS,2016,201611,November 2016,0,0,2,Exports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5082400800,,,0
HS,2017,201704,April 2017,0,0,1,Imports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5405231189,,,0
HS,2017,201704,April 2017,0,0,1,Imports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13071504775,,,0
HS,2017,201704,April 2017,0,0,1,Imports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1369102286,,,0
HS,2017,201704,April 2017,0,0,1,Imports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11586458032,,,0
HS,2017,201704,April 2017,0,0,2,Exports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,32398409118,,,0
HS,2017,201704,April 2017,0,0,2,Exports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5596546481,,,0
HS,2017,201704,April 2017,0,0,2,Exports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11179670951,,,0
HS,2017,201704,April 2017,0,0,2,Exports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2056040452,,,0
HS,2016,201607,July 2016,0,0,2,Exports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5233280020,,,0
HS,2016,201607,July 2016,0,0,2,Exports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,34097450968,,,0
HS,2016,201607,July 2016,0,0,2,Exports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10480803073,,,0
HS,2016,201607,July 2016,0,0,2,Exports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2107992727,,,0
HS,2016,201607,July 2016,0,0,1,Imports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9762010011,,,0
HS,2016,201607,July 2016,0,0,1,Imports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12092675929,,,0
HS,2016,201609,September 2016,0,0,1,Imports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4573374624,,,0
HS,2016,201609,September 2016,0,0,1,Imports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13411329552,,,0
HS,2016,201609,September 2016,0,0,1,Imports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,925065925,,,0
HS,2016,201609,September 2016,0,0,1,Imports,156,China,,842,United States of America,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11225137396,,,0
HS,2016,201603,March 2016,0,0,1,Imports,156,China,,76,Brazil,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2718704629,,,0
HS,2016,201603,March 2016,0,0,1,Imports,156,China,,392,Japan,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12494415869,,,0
HS,2016,201603,March 2016,0,0,1,Imports,156,China,,699,India,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1163087947,,,0
