Year,Average Africa,Average Developed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,0.474616104,0.511439126
1960,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,0.066750547,0.397819036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,0.193740357,0.683927137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,0.119546057,0.605230258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,0.152872638,0.446154962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,0.05707544,0.369006053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,0.3173145,0.355763379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,-0.062296396,0.525768967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,0.155817652,0.484987645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,0.453065274,0.557489453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1.223186647,0.617816957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,-0.088524526,0.584457894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,0.601947463,0.877561222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,0.508610059,1.293847697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,0.740846839,0.805749446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,0.474616104,0.511439126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,0.517844531,0.551815129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,0.367452243,0.797758971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,0.222280621,1.030580446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,0.685920355,0.625061799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,0.726353394,0.536764836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,1.45533359,0.268525748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,0.059578267,0.03834885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,-0.229492167,-0.041788386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,-0.050621517,0.138745151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,0.375986856,0.333585475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,-0.084273804,1.184894796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,0.185943901,0.732305567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,-0.059791488,0.594049383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,0.17746357,0.377396696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,0.444720546,0.492522797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,-0.325847029,0.36058263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,-0.116888723,-0.028646188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,-0.911486663,0.16365716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,0.34545936,0.673528283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,0.97501943,0.79868477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,0.973792423,0.161326374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,0.331030744,0.017693898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,0.009432262,-0.005276427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,0.017365789,-0.024105291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,0.739333729,0.184132465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,0.044760936,-0.190544938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,0.911289134,0.048072734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,0.343662255,0.634903478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,0.648146723,0.659058785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1.165544448,0.586495765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1.32903146,0.473399661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,0.867904872,0.76349489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,0.954623063,0.405381308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,-0.148558043,0.006934857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,0.674241651,0.702769507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,0.59245922,0.465241724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,0.646208698,-0.059885215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,0.321071613,-0.068068681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,0.342705369,0.107463929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,-0.204108902,-0.416720931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,-0.230185121,0.253150674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,-0.019680884,0.366844769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,0.108979262,0.1030048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
