Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201107,Jul-11,0,0,1,Imports,156,China,,140,Central African Rep.,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2870272,,,0
HS,2011,201107,Jul-11,0,0,1,Imports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2042666074,,,0
HS,2011,201107,Jul-11,0,0,1,Imports,156,China,,577,"Other Africa, nes",,,,,,,,,TOTAL,All Commodities,,,,,,,,,1211,,,0
HS,2011,201107,Jul-11,0,0,2,Exports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1176742767,,,0
HS,2011,201107,Jul-11,0,0,2,Exports,156,China,,577,"Other Africa, nes",,,,,,,,,TOTAL,All Commodities,,,,,,,,,489698,,,0
HS,2011,201107,Jul-11,0,0,2,Exports,156,China,,140,Central African Rep.,,,,,,,,,TOTAL,All Commodities,,,,,,,,,840224,,,0
HS,2011,201105,May-11,0,0,1,Imports,156,China,,140,Central African Rep.,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2137767,,,0
HS,2010,201008,Aug-10,0,0,1,Imports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1037643582,,,0
HS,2011,201105,May-11,0,0,1,Imports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2778143205,,,0
HS,2011,201102,Feb-11,0,0,2,Exports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,588932742,,,0
HS,2010,201008,Aug-10,0,0,1,Imports,156,China,,577,"Other Africa, nes",,,,,,,,,TOTAL,All Commodities,,,,,,,,,5644,,,0
HS,2011,201105,May-11,0,0,2,Exports,156,China,,710,South Africa,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1036157999,,,0
HS,2011,201102,Feb-11,0,0,1,Imports,156,China,,140,Central African Rep.,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1723808,,,0
HS,2011,201105,May-11,0,0,2,Exports,156,China,,140,Central African Rep.,,,,,,,,,TOTAL,All Commodities,,,,,,,,,579708,,,0
HS,2011,201105,May-11,0,0,1,Imports,156,China,,577,"Other Africa, nes",,,,,,,,,TOTAL,All Commodities,,,,,,,,,4581291,,,0
HS,2011,201102,Feb-11,0,0,2,Exports,156,China,,577,"Other Africa, nes",,,,,,,,,TOTAL,All Commodities,,,,,,,,,207119,,,0
HS,2011,201105,May-11,0,0,2,Exports,156,China,,577,"Other Africa, nes",,,,,,,,,TOTAL,All Commodities,,,,,,,,,508657,,,0
HS,2010,201008,Aug-10,0,0,2,Exports,156,China,,577,"Other Africa, nes",,,,,,,,,TOTAL,All Commodities,,,,,,,,,407033,,,0
