,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,,,,,,,,,,,,,,,,,,,,,49617.14367,45791.68813,44193.32271,44435.66436,45452.54826,45403.60687,45099.08959,45319.34888,46450.82241,44901.26776,41911.95141,40943.425,37308.89059,27454.95206,26939.39847,29999.57438,32985.37723,34264.50082,34732.11662,34355.17606,34263.12324,34544.80507,37979.85897,37815.84274,40533.68079,45004.88456,48417.30298,53205.77981,56992.36767,55391.6604,55989.42999,55865.77927,58495.07943,59250.88595,59973.64768,58493.06915,55090.97378,53212.42484,50398.6691
Brazil,6011.806416,6439.360725,6580.170226,6447.428591,6483.519095,6496.454312,6582.672435,6722.714301,7296.073935,7802.718789,8275.835454,8986.703236,9830.209501,10941.36906,11651.91256,11971.88075,12835.73449,13112.35583,13219.13767,13783.45569,14688.41897,13716.22616,13476.48983,12720.27578,13093.67707,13832.06803,14630.41637,14857.69657,14559.71423,14759.65057,14045.00733,14008.70629,13707.25966,14109.85109,14621.69791,15023.70324,15113.31308,15383.93369,15201.73152,15048.32483,15486.50593,15488.57643,15753.34968,15733.98307,16441.55241,16774.70881,17250.23055,18108.37858,18842.56641,18638.70041,19854.75871,20455.64404,20663.17375,21098.93703,21024.56766,20109.68696,19285.45077,19333.9364,19397.36521
China,1483.494071,1089.958051,1020.729312,1098.531898,1268.463747,1448.558822,1558.771028,1431.551968,1337.478223,1521.7739,1766.024687,1839.476766,1863.207965,1962.466513,1966.744801,2100.80679,2036.074169,2160.559778,2369.202723,2515.482608,2678.058281,2780.729602,2984.888861,3260.848294,3705.573682,4146.874468,4450.895604,4892.075771,5354.763462,5494.025015,5625.530682,6065.05102,6842.890506,7702.770043,8610.277187,9449.803235,10279.70243,11114.26501,11870.90265,12670.91483,13638.97294,14669.50668,15902.02617,17389.24159,19034.12039,21078.87073,23627.69327,26849.647,29291.31956,31885.66047,35107.10086,38276.30871,41084.02141,44057.62639,47034.87425,50027.92404,53109.78475,56382.2886,59830.13155
Egypt,7386.06923,7559.130264,7643.721049,8225.576041,8932.821727,9129.076173,9342.765325,9177.4087,8803.294141,9042.217825,9324.160062,9483.194649,9558.915452,9681.240566,9620.547579,10251.89682,11355.97158,12100.01263,12842.79784,13111.82121,14077.56482,14740.71151,15795.8223,16178.12937,17295.7139,17818.18595,18168.00867,18360.24188,18852.56715,19278.65012,19882.79023,19654.84734,20099.17561,20262.96046,20649.01648,21178.41515,21791.8016,22531.46318,23317.70182,24247.456,25298.90998,25700.02372,25823.84456,26157.79902,26734.09386,27429.77386,28792.31849,30297.66703,31893.49366,32767.39864,33776.91783,33653.99103,33649.6296,33613.97531,33821.32421,34529.44878,35265.62077,35979.95338,37129.30827
European Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,16358.83675,16632.10833,16775.27247,17418.84113,18333.31531,17482.62084,17112.67032,18070.06124,18291.64084,19072.66689,19618.9773,19496.09373,18947.15613,19121.31356,18902.00861,20158.02942,20026.37793,20992.68594,21690.17893,20087.68594,20951.25198,21699.47929,21936.8616,22995.98116,23332.72697,24009.93185,24604.21765,25027.28354,26854.1304,27856.96434,28794.37153,28511.15741,29477.80518,30275.68911,31670.27467,33421.60332,35269.95738,36018.74343,37549.12372,40139.30564,40950.55661,42190.2846,43061.46126,45685.49989,48515.10449,51538.53989,54838.69737,58155.44215,59078.71762,62830.85562,67255.62377,69874.49065,72785.13218,76522.61736,81256.8666,86779.92812,92851.92794,98455.68527,104243.2224
Japan,755579.0627,824799.1237,889947.2226,955586.1249,1056105.575,1105621.704,1212125.779,1333956.542,1500796.688,1653525.065,1641461.099,1696610.217,1813769.631,1943308.741,1883203.678,1910587.718,1971894.68,2038725.844,2126873.273,2224691.719,2269511.364,2347633.793,2408996.624,2476928.466,2572070.232,2690179.174,2762783.648,2879285.779,3061556.216,3197171.89,3342171.65,3445679.774,3466286.24,3439832.993,3462177.556,3543560.518,3644172.539,3674619.484,3623295.76,3607573.757,3701653.916,3707750.373,3703503.578,3752063.968,3833494.609,3896866.975,3949698.882,4010423.185,3964647.218,3750374.125,3906878.27,3909603.818,3974398.37,4059749.837,4080373.339,4134658.662,4164640.991,4251954.845,4294152.94
Kenya,41712.27053,37286.35452,39541.53043,41656.50942,42329.82905,41787.10905,46378.29565,46355.96979,48382.71708,50458.53459,46446.19322,54750.8198,61818.23002,63100.99315,63273.52448,61487.54859,60493.29837,63757.89158,65625.62406,67974.8603,69067.88921,68957.92049,67342.91952,65650.3456,64309.24396,64609.22451,66743.4191,68194.37243,69902.20474,70687.5344,71199.90149,69876.22615,67115.99257,65265.3183,64959.7353,65824.62762,66585.23233,65022.36232,65308.2606,64991.41321,63610.23314,64238.08171,62861.00335,62974.69639,64412.52111,66373.89014,68747.55588,71451.4509,69662.75441,70013.75392,73860.36332,76288.99888,77674.20898,80114.8922,82273.81898,84837.9829,87676.87573,89798.67417,93297.36789
Nigeria,205544.8902,201803.194,205766.8656,218752.9785,224745.0701,230733.763,216224.5021,178269.8093,172214.7264,209153.0599,255547.9824,285232.5202,287949.3786,296163.7086,320877.0586,295958.7582,313580.8963,322667.1456,294987.1802,305706.6418,309612.5691,261776.2853,237705.6455,206439.8895,199039.1524,205475.2135,200317.9058,201371.2748,210527.5223,209035.2022,227703.4625,222774.8914,227287.9153,217157.5155,207965.6384,202704.0046,206017.3658,206855.513,206973.8338,203050.1683,207962.2402,214805.3796,241564.697,252816.2642,269223.0277,279242.4964,288530.7083,299558.5546,311458.5603,327648.0492,344549.9221,353250.924,358453.8419,372267.6872,385349.0376,385236.148,369177.9075,362573.9542,360160.7378
United States,17550.57316,17659.05698,18450.30093,18986.88586,19811.02093,20817.04391,21915.58302,22220.19895,23055.41609,23538.97341,23207.21994,23670.34573,24649.84474,25794.12817,25421.36967,25120.23085,26223.37645,27161.42669,28362.7718,28939.63994,28589.67273,29028.9015,28235.08967,29260.58618,31107.55962,32118.75943,32925.22668,33761.17884,34853.48847,35793.8965,36059.30163,35542.14111,36287.32286,36797.79765,37813.75818,38369.16184,39356.0918,40614.40561,41942.70951,43434.69267,44726.9654,44728.59748,45087.36728,45980.51458,47287.59377,48499.81238,49405.7673,49856.28149,49319.47886,47648.81325,48466.82338,48862.42494,49596.42192,50161.07582,51015.13548,52099.26976,52534.36528,53356.23624,54541.72052
