Country,Year,,Trade Value,,Relative Change
Angola,1992,Import,29409207,,0.869169781
Angola,1992,Export,8472850,,-4.579766548
Kenya,1992,Import,2239258,,0.763383674
Kenya,1992,Export,29182602,,-3.138072541
Nigeria,1992,Import,5961981,,-3.064743581
Nigeria,1992,Export,90991983,,-1.193554107
South Africa,1992,Import,1088866,,-43.06816266
South Africa,1992,Export,174559719,,0.928494357
Egypt,1993,Import,180710462,,0.974143899
Egypt,1993,Export,11206948,,-4.754919627
Angola,1993,Import,3847613,,0.723398117
Angola,1993,Export,47276525,,-0.908599691
Kenya,1993,Import,529845,,-27.66001378
Kenya,1993,Export,120759724,,-1.315366612
Nigeria,1993,Import,24233924,,-4.649407087
Nigeria,1993,Export,199595838,,0.893989092
South Africa,1994,Import,47984324,,0.971115838
South Africa,1994,Export,12482005,,-7.33939956
Egypt,1994,Import,4672468,,-11.7793819
Egypt,1994,Export,64495085,,-1.368116842
Angola,1994,Import,1064257,,-11.27411236
Angola,1994,Export,90231961,,-3.872391236
Kenya,1994,Import,15185365,,-15.05171446
Kenya,1994,Export,279603033,,0.897949229
Nigeria,1995,Import,136907302,,0.993632641
Nigeria,1995,Export,21159336,,-3.358372871
South Africa,1995,Import,1385987,,-3.921152219
South Africa,1995,Export,104092427,,-0.641319863
Egypt,1995,Import,59711253,,0.942772462
Egypt,1995,Export,152731897,,-1.648057413
Angola,1995,Import,13062810,,-45.19956548
Angola,1995,Export,439645416,,0.933745446
Kenya,1996,Import,243751143,,0.995153315
Kenya,1996,Export,28533705,,-3.642778777
Nigeria,1996,Import,871738,,-11.19635716
Nigeria,1996,Export,92220276,,-2.431022002
South Africa,1996,Import,6820653,,-7.312559809
South Africa,1996,Export,170848968,,-1.721385323
Egypt,1996,Import,3417128,,-43.97862298
Egypt,1996,Export,404442832,,0.90937402
Angola,1997,Import,603496146,,0.99752724
Angola,1997,Export,29128511,,-3.056424855
Kenya,1997,Import,1181385,,-22.2128798
Kenya,1997,Export,132475680,,-1.698892597
Nigeria,1997,Import,10632028,,-1.980893579
Nigeria,1997,Export,316409796,,-0.816445405
South Africa,1997,Import,56697086,,-5.272829542
South Africa,1997,Export,464945874,,0.964805157
Egypt,1998,Import,153697712,,0.968023389
Egypt,1998,Export,36653028,,-1.749161625
Angola,1998,Import,1492301,,-121.2835286
Angola,1998,Export,118157616,,-2.355250092
Kenya,1998,Import,27423348,,-0.252861722
Kenya,1998,Export,357537632,,-1.002181935
Nigeria,1998,Import,31692944,,-57.14205733
Nigeria,1998,Export,574741120,,0.941303123
South Africa,1999,Import,355651156,,0.989175373
South Africa,1999,Export,16363697,,-7.132834774
Egypt,1999,Import,4914732,,-61.52555419
Egypt,1999,Export,100765098,,-4.44612189
Angola,1999,Import,182483832,,-4.684283899
Angola,1999,Export,396448352,,-1.55681612
Kenya,1999,Import,34357663,,-1.970700976
Kenya,1999,Export,715855388,,-0.12494957
Nigeria,2000,Import,1842692967,,0.608275438
Nigeria,2000,Export,33735509,,-0.355302924
South Africa,2000,Import,3849791,,-0.526734828
South Africa,2000,Export,133083244,,-0.043008307
Egypt,2000,Import,307296342,,0.260786931
Egypt,2000,Export,548779006,,-0.671316012
Angola,2000,Import,1037289908,,-0.131025576
Angola,2000,Export,1013645537,,-0.034458299
Kenya,2000,Import,102066343,,0.213077234
Kenya,2000,Export,805301211,,-0.084324551
Nigeria,2001,Import,721828095,,-0.505967072
Nigeria,2001,Export,45721834,,-0.340954543
South Africa,2001,Import,5877610,,0.013578648
South Africa,2001,Export,138806929,,-0.300810588
Egypt,2001,Import,227157472,,0.465972799
Egypt,2001,Export,917183140,,-0.141698408
Angola,2001,Import,1173201416,,-0.081456026
Angola,2001,Export,1048574038,,-0.249920839
Kenya,2001,Import,80318329,,-0.143629158
Kenya,2001,Export,873207874,,0.023229863
Nigeria,2002,Import,1087049343,,-1.029286798
Nigeria,2002,Export,61310901,,-1.377900383
South Africa,2002,Import,5797800,,-0.506727034
South Africa,2002,Export,180561523,,-0.338670066
Egypt,2002,Import,121308269,,0.409283534
Egypt,2002,Export,1047146531,,-0.705561409
Angola,2002,Import,1268765741,,-0.450222973
Angola,2002,Export,1310634541,,-0.548382606
Kenya,2002,Import,91854383,,-0.663731082
Kenya,2002,Export,852923375,,-0.098291388
Nigeria,2003,Import,2205934880,,-1.138476158
Nigeria,2003,Export,145791215,,-0.327363278
South Africa,2003,Import,8735702,,-0.942514637
South Africa,2003,Export,241712306,,-0.44301257
Egypt,2003,Import,71658792,,-5.464194121
Egypt,2003,Export,1785972713,,0.037746133
Angola,2003,Import,1839993225,,-0.608812134
Angola,2003,Export,2029363726,,-0.454595791
Kenya,2003,Import,152820992,,-0.229776914
Kenya,2003,Export,936758397,,-0.482169449
Nigeria,2004,Import,4717339146,,-0.39524179
Nigeria,2004,Export,193517905,,-0.926405446
South Africa,2004,Import,16969229,,-0.040243726
South Africa,2004,Export,348793896,,-0.309985643
Egypt,2004,Import,463216342,,-0.13743668
Egypt,2004,Export,1718559149,,-0.34017023
Angola,2004,Import,2960203427,,-0.163113277
Angola,2004,Export,2951903935,,-0.296100809
Kenya,2004,Import,187935728,,-0.123447294
Kenya,2004,Export,1388434677,,-0.39296141
Nigeria,2005,Import,6581828714,,-0.661133339
Nigeria,2005,Export,372793946,,-1.398605564
South Africa,2005,Import,17652134,,-0.383152485
South Africa,2005,Export,456914996,,-0.35920294
Egypt,2005,Import,526879258,,0.472844537
Egypt,2005,Export,2303161810,,-0.238363682
Angola,2005,Import,3443051908,,-0.186551399
Angola,2005,Export,3825965079,,-0.507517445
Kenya,2005,Import,211135885,,-0.026679174
Kenya,2005,Export,1934035925,,-0.538493301
Nigeria,2006,Import,10933295107,,-0.178845396
Nigeria,2006,Export,894185633,,-0.380606672
South Africa,2006,Import,24415593,,-0.151378424
South Africa,2006,Export,621040206,,-0.526710899
Egypt,2006,Import,277747279,,-0.933701468
Egypt,2006,Export,2852151939,,-0.332138626
Angola,2006,Import,4085358057,,-0.619954523
Angola,2006,Export,5767709102,,-0.290789864
Kenya,2006,Import,216768816,,-0.105967811
Kenya,2006,Export,2975501314,,-0.501629056
Nigeria,2007,Import,12888664603,,-0.736605344
Nigeria,2007,Export,1234518651,,-1.383495586
South Africa,2007,Import,28111587,,-0.235174556
South Africa,2007,Export,948148851,,-0.31765453
Egypt,2007,Import,537080321,,0.053435844
Egypt,2007,Export,3799461765,,-0.781055543
Angola,2007,Import,6618094263,,-0.395412726
Angola,2007,Export,7444900447,,-0.157520062
Kenya,2007,Import,239739333,,-0.789189524
Kenya,2007,Export,4468099230,,-0.314711239
Nigeria,2008,Import,22382523829,,0.344317432
Nigeria,2008,Export,2942469756,,0.189130151
South Africa,2008,Import,34722717,,0.145751094
South Africa,2008,Export,1249332629,,-0.022497342
Egypt,2008,Import,508380981,,-0.763492079
Egypt,2008,Export,6767052438,,0.190845038
Angola,2008,Import,9234972954,,0.058659611
Angola,2008,Export,8617621625,,0.14528755
Kenya,2008,Import,428939103,,-0.754428013
Kenya,2008,Export,5874260276,,0.130552748
Nigeria,2009,Import,14675830702,,-0.554600207
Nigeria,2009,Export,2385960008,,0.160139915
South Africa,2009,Import,29661843,,-0.3218239
South Africa,2009,Export,1277439292,,-0.398347011
Egypt,2009,Import,896525833,,-0.195305654
Egypt,2009,Export,5475594058,,-0.223035068
Angola,2009,Import,8693253033,,-0.713561334
Angola,2009,Export,7365588491,,-0.466259221
Kenya,2009,Import,752542778,,-0.219771443
Kenya,2009,Export,5107359456,,-0.182799903
Nigeria,2010,Import,22815049454,,-0.092357066
Nigeria,2010,Export,2003872576,,-0.389386431
Egypt,2010,Import,39207733,,-0.522429032
Egypt,2010,Export,1786303416,,-0.326076571
Angola,2010,Import,1071622397,,-0.477834048
Angola,2010,Export,6696843552,,-0.374613906
Kenya,2010,Import,14896422261,,-1.154556969
Kenya,2010,Export,10799862041,,-0.23726581
Nigeria,2010,Import,917930190,,-0.65409112
Nigeria,2010,Export,6040984268,,-0.205636757
Egypt,2011,Import,24922180492,,-0.346667758
Egypt,2011,Export,2784153366,,-0.450771829
Angola,2011,Import,59690991,,0.122012583
Angola,2011,Export,2368775109,,-0.177301175
Kenya,2011,Import,1583680065,,0.195675289
Kenya,2011,Export,9205574275,,-0.009856916
Nigeria,2011,Import,32095190401,,-0.391290616
Nigeria,2011,Export,13362300051,,-0.14675703
Egypt,2011,Import,1518340176,,0.130144387
Egypt,2011,Export,7283232684,,-0.129158127
Angola,2012,Import,33561896917,,0.047352138
